 
****************************************
Report : constraint
        -all_violators
Design : aes_ASIC_new
Version: T-2022.03-SP2
Date   : Mon Mar 23 12:11:33 2026
****************************************


   min_delay/hold ('sys_clk' group)

                             Required        Actual
   Endpoint                 Path Delay     Path Delay        Slack
   u_aes_top/u_ke/round_ctrl_reg_5_/D     1.13     0.95 f    -0.18  (VIOLATED)
   u_aes_top/u_ke/round_ctrl_reg_6_/D     1.13     0.95 f    -0.18  (VIOLATED)
   u_aes_top/u_ke/round_ctrl_reg_7_/D     1.13     0.95 f    -0.18  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_1_/D     1.13     0.96 f    -0.17  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_11_/D     1.13     0.96 f    -0.17 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__27_/D     1.13     0.97 f    -0.16 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__29_/D     1.13     0.97 f    -0.16 (VIOLATED)
   u_aes_top/u_ke/round_ctrl_reg_1_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__0_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__1_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__2_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__3_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__4_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__5_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__6_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__7_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__8_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__9_/D     1.13     0.98 f     -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__10_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__11_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__12_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__13_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__14_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__15_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__16_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__17_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__18_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__19_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__20_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__21_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__22_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__23_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__24_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__25_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__26_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__27_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__28_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__29_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__30_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__31_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__32_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__33_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__34_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__35_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__36_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__37_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__38_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__39_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__40_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__41_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__42_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__43_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__44_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__45_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__46_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__47_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__48_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__49_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__50_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__51_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__52_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__53_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__54_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__55_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__56_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__57_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__58_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__59_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__60_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__61_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__62_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__63_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__64_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__65_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__66_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__67_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__68_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__69_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__70_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__71_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__72_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__73_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__74_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__75_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__76_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__77_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__78_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__79_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__80_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__81_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__82_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__83_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__84_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__85_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__86_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__87_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__88_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__89_/D     1.13     0.98 f    -0.15  (VIOLATED)
